date,doc_id,sentence_id,original_sentence,clean_token
"180521","20180521_bond_p2t.txt","1","달러화와 EM 경기 인피니티 워 금리 상승과 미국 기업 본국송환 수요로 촉발된 달러화 강세 미국 년물 35%를 넘어서면 이머징 금융시장 변동성 추가 확대 가능성 주간 정책 이벤트 한미정상회담, 폼페이오 청문회 금리상승이 촉발하는 달러화 강세와 이머징 금융시장 변동성 미국 년물 금리가 3%대에 안착했다.","['달러화', 'EM', '경기', '인피니티', '워', '금리', '상승', '미국', '기업', '본국', '송환', '수요', '촉발', '되다', '달러화', '강세', '미국', '년물', '35%', '를', '넘어서다', '머징', '금융시장', '변동성', '추가', '확대', '가능성', '주간', '정책', '이벤트', '한미정상회담', '폼페이', '오', '청문회', '금리', '상승', '촉발', '하다', '달러화', '강세', '머징', '금융시장', '변동성', '미국', '년물', '금리', '3%', '대다', '안', '착하다']"
"180521","20180521_bond_p2t.txt","2","이 과정에서 달러화 강세가 나타나면 이머 징 금융시장의 주요 변수들도 변동성이 확대되는 현상이 발생했다.","['이', '과정', '달러화', '강세', '나타나다', '머', '징', '금융시장', '주요', '변수', '변동성', '확대', '되다', '현상', '발생', '하다']"
"180521","20180521_bond_p2t.txt","3","우선 헤지 펀드들은 달러화 강세에 대한 우려로 이머징에 대한 포지션을 축소해나 갔다.","['우선', '헤지', '펀드', '달러화', '강세', '대한', '우려', '머징', '대한', '포지션', '축소', '해나', '가다']"
"180521","20180521_bond_p2t.txt","4","특히 5월 들어서는 롱 온리 펀드들도 포지션을 축소하면서 이머징 시장 전반의 금융지표들은 악화되었다.","['특히', '5월', '들어서다', '롱', '오다', '펀드', '포지션', '축소', '하다', '머징', '시장', '전반', '금융', '지표', '악화', '되어다']"
"180521","20180521_bond_p2t.txt","5","대표적인 리스크 관련 지표인 EMBI+ 스 프레드가 확대되면서 이머징 금리가 상승했고 이러한 금리 상승이 다시 이머징 위 험자산에 대한 위축을 가져오는 악순환의 고리를 만들어갔다 미국채 년물 금리35%를 넘으면 이머징 경기 하강압력으로 작용 이처럼 미국 금리 상승이 촉발하는 달러화 강세는 이머징 금융시장에 부정적 영향 을 미치게 된다.","['대표', '리스크', '관련', '지표', 'EMBI', '스', '프레드', '확대', '되다', '머징', '금리', '상승', '하다', '이러하다', '금리', '상승', '다시', '머징', '위', '허다', '자산', '대한', '위축', '가져오다', '악순환', '고리', '만', '들어가다', '미국', '채', '년물', '금리', '35%', '를', '넘다', '머징', '경기', '하강', '압력', '작용', '이처럼', '미국', '금리', '상승', '촉발', '하다', '달러화', '강세', '머징', '금융시장', '부정', '영향', '미치다', '되다']"
"180521","20180521_bond_p2t.txt","6","따라서 현재 가장 중요한 문제는 미국채 금리 상승이 이머징의 금 융시장을 너머 실물경기에 영향을 주는지 여부일 것이다.","['따라서', '현재', '가장', '중요하다', '문제', '미국', '채', '금리', '상승', '머징', '금', '융', '시장', '너머', '실물', '경기', '영향', '주다', '여', '부일', '것']"
"180521","20180521_bond_p2t.txt","7","이를 판단하는 것은 어렵지만 통상 금융변수가 실물경기에 영향을 미칠 때는 펀더 멘털로 설명되지 못하는 수준 이상으로 금융변수의 변동성이 확대되는 경우이다.","['이르다', '판단', '하다', '것', '어렵다', '통상', '금융', '변수', '실물', '경기', '영향', '미치다', '때', '펀더', '멘털', '설명', '되다', '못', '하다', '수준', '이상', '금융', '변수', '변동성', '확대', '되다', '경우']"
"180521","20180521_bond_p2t.txt","8","이를 위해 우리는 미국채 년물 금리 모델을 통해 적정 수준이 어느 정도인가를 살펴보았다.","['이르다', '위해', '우리', '미국', '채', '년물', '금리', '모델', '통해', '적정', '수준', '어느', '정도', '를', '살펴보다']"
"180521","20180521_bond_p2t.txt","9","우리의 모델로 보면 현재 미국채 년물 금리의 적정 수준 레벨은 32% 정도이고 범위는 29~35%이다.","['우리', '모델', '보다', '현재', '미국', '채', '년물', '금리', '적정', '수준', '레벨', '32%', '정도', '범위', '29~35%']"
"180521","20180521_bond_p2t.txt","10","최근 미국채 년물이 31%대에 도달했 으나 여전히 적정 수준 레벨 아래에 있다는 점에서 최근 금리 상승은 경제여건에 부합한다고 볼 수 있다.","['최근', '미국', '채', '년', '물이', '31%', '대다', '도달', '하다', '여전하다', '적정', '수준', '레벨', '아래', '있다', '점', '최근', '금리', '상승', '경', '제', '여건', '부합', '하다', '볼', '수', '있다']"
